time,event
4.897959184,0
6.039215686,0
9.136094675,0
9.333333333,0
10.2,0
12.45360825,0
13.27099237,0
13.56589147,0
13.8,0
13.98660714,0
14.51546392,0
16.7519084,0
17.37113402,0
17.45098039,0
17.56410256,0
17.7027027,0
18.45454545,0
18.77192982,0
18.77720207,0
18.94957983,0
19.35114504,0
19.77539931,0
19.97368421,0
20.38709677,0
20.89119171,0
21.85840708,0
23.08860759,0
23.28947368,0
24.08823529,0
24.74358974,0
25.41,0
26.38297872,0
26.91666667,0
27.57142857,0
29.04761905,0
29.41747573,0
29.6969697,0
29.84210526,0
30.49382716,0
30.65934066,0
32.38095238,0
32.5862069,0
32.93103448,0
33.27586207,0
34,1
34.17894737,0
36.94736842,0
38.16666667,0
38.6,0
39,0
39.48275862,0
39.86111111,0
40.1754386,0
42.82608696,0
43.40909091,0
46.59459459,0
47.36263736,0
47.44186047,0
48.62068966,0
48.62068966,0
50,0
50.28089888,0
50.93023256,0
53.66666667,0
54.43589744,0
56.43181818,0
56.59090909,0
56.94618834,0
57.4,0
57.71052632,0
57.77777778,0
57.96226415,0
58.57142857,0
58.8,0
59.87341772,0
60,0
60.66666667,0
60.85714286,0
61.67272727,0
62.17647059,0
62.75862069,0
62.77868852,0
63.29341317,0
64.24242424,0
64.65853659,0
65.22807018,0
66.25,0
67.2,0
67.56097561,0
68.32335329,0
68.33333333,0
68.44117647,0
68.83856502,0
68.85714286,0
68.85714286,0
69.07407407,0
69.6875,0
72.1875,0
73.59375,0
73.7037037,0
74.21052632,0
74.8115942,0
74.90196078,0
75.33333333,0
75.55555556,0
76.47058824,0
77.26829268,0
77.39130435,0
77.66666667,0
77.89473684,0
78.1512605,0
79.19512195,0
79.33333333,0
81.28311918,0
83.25925926,0
83.64935065,0
84.42857143,0
84.73684211,0
85.5,0
85.66666667,0
88.55813953,0
88.97058824,0
91.5,0
92.14705882,0
92.45454545,0
94.03508772,0
95.14728682,0
95.14728682,0
97.28205128,0
98.2295082,0
101.3888889,0
102.2222222,0
102.6666667,0
103.3541667,0
103.4883721,0
104.0680628,0
104.4642857,0
104.7619048,0
107.027027,0
107.8311688,0
108.8653846,0
109.1836735,0
109.9636364,0
110.1176471,0
111.1944444,0
112.7027027,0
113.4117647,0
114,0
114.2857143,0
114.8648649,0
115.4594595,0
118.0555556,0
