gears
4325.816
6089.124
6281.571
6713.278
7329.37
7586.772
7956.71
7971.265
8361.412
9136.757
9794.2
10939.03
10942.62
11090.46
11329.73
11635.25
12160.14
13057.69
14307.81
15801.41
