F3.13da
3.46623
3.732711
4.052996
4.628703
4.8157
5.84517
5.888313
5.892967
8.168362
10.02799
10.06062
10.49785
11.11493
11.87369
12.21122
12.51854
12.91357
18.04246
18.20712
19.57305
21.20873
30.03917
34.88001
36.87355
53.91168
